nuts_code,nuts_level,country,year,ai_adoption_share,n_firms
DE22,2,Germany,2021,0.05922073890096243,12886
DE23,2,Germany,2021,0.07552083333333333,11905
DE24,2,Germany,2021,0.07069885182171594,11062
DE25,2,Germany,2021,0.09105576283150146,19834
DE26,2,Germany,2021,0.07591569470022509,14665
DE27,2,Germany,2021,0.0726337547469115,20805
DE30,2,Germany,2021,0.1427654432865126,52984
DE40,2,Germany,2021,0.07940067271430028,19628
DE50,2,Germany,2021,0.08749447635881573,9054
DE60,2,Germany,2021,0.12230706657220079,38117
DE71,2,Germany,2021,0.11797328983586503,49055
DE72,2,Germany,2021,0.0775825117873982,9335
DE73,2,Germany,2021,0.07370556414219474,10356
DE80,2,Germany,2021,0.050149113169047244,12743
DE91,2,Germany,2021,0.07953460102457237,11520
DE92,2,Germany,2021,0.07742457623308305,22241
DE93,2,Germany,2021,0.054785162920964546,14644
DE94,2,Germany,2021,0.06247321399136254,30343
DEA1,2,Germany,2021,0.09463031874589571,59397
DEA2,2,Germany,2021,0.1110101781695811,48446
DEA3,2,Germany,2021,0.0665151903836992,27290
DEA4,2,Germany,2021,0.07187563919001841,24445
DEA5,2,Germany,2021,0.07375321262525629,34635
DEB1,2,Germany,2021,0.06298281021643816,14371
DEB2,2,Germany,2021,0.06784968684759916,4791
DEB3,2,Germany,2021,0.09082347401259638,16991
DEC0,2,Germany,2021,0.09501521179499181,8546
DED2,2,Germany,2021,0.07465135356849877,13409
DED4,2,Germany,2021,0.06097902097902098,10726
DED5,2,Germany,2021,0.0871274834437086,9664
DEE0,2,Germany,2021,0.06136700289200818,14178
DEF0,2,Germany,2021,0.05935149484861892,31650
DEG0,2,Germany,2021,0.06590446152835272,15223
DE11,2,Germany,2022,0.1182345135833508,42960
DE12,2,Germany,2022,0.12568123307365675,29910
DE13,2,Germany,2022,0.08983662210906004,23566
DE14,2,Germany,2022,0.09804895000744676,20144
DE21,2,Germany,2022,0.15589834194074476,73581
DE22,2,Germany,2022,0.0745860668541081,12804
DE23,2,Germany,2022,0.09141460948689864,11869
DE24,2,Germany,2022,0.08726908726908728,10990
DE25,2,Germany,2022,0.10916675144979143,19658
DE26,2,Germany,2022,0.09267256151895263,14589
DE27,2,Germany,2022,0.09252016031677049,20709
DE30,2,Germany,2022,0.16567823104761545,52779
DE40,2,Germany,2022,0.09524299305734121,19447
DE50,2,Germany,2022,0.1056801696239259,8963
DE60,2,Germany,2022,0.14415132435376318,37641
DE71,2,Germany,2022,0.13943676395289298,48825
DE72,2,Germany,2022,0.09405779846303712,9239
DE73,2,Germany,2022,0.08955223880597014,10252
