classification,code,digit_level,country,year,ai_adoption_share,n_firms
nace,N,1,Germany,2023,0.1539824326336162,67172
nace,O,1,Germany,2023,0.2072336265884653,1023
nace,P,1,Germany,2023,0.13305709023941067,10861
nace,Q,1,Germany,2023,0.07332598413996658,28121
nace,R,1,Germany,2023,0.08077197998570407,11192
nace,S,1,Germany,2023,0.1499350674904569,25411
nace,T,1,Germany,2023,0.11428571428571428,70
nace,U,1,Germany,2023,,8
nace,A,1,Germany,2024,0.0835049616176746,5341
nace,B,1,Germany,2024,0.06890894175553733,1219
nace,C,1,Germany,2024,0.11716408184543203,84403
nace,D,1,Germany,2024,0.18165382801446314,12722
nace,E,1,Germany,2024,0.07801242236024845,4025
nace,F,1,Germany,2024,0.06871384548845759,73988
nace,G,1,Germany,2024,0.11284864602326562,125593
nace,H,1,Germany,2024,0.1281397174254317,20384
nace,I,1,Germany,2024,0.056387916293461446,24562
nace,J,1,Germany,2024,0.4286032975724513,49309
nace,K,1,Germany,2024,0.240912591451675,51940
nace,L,1,Germany,2024,0.1409961802437948,65711
